foodCategory,images,rating,visitReviewCount,blogReviewCount,review
x,x,x,x,x,x
갤러리카페,"['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190128_278%2F15486491427091J53l_JPEG%2FP6230917.""', '""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190128_261%2F1548649144857YxCDx_JPEG%2FP1000287.""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190128_207%2F1548649144884Ac8Lx_JPEG%2F1.""']",4.23,66,11,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"카페,디저트","['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230130_271%2F1675064028290gTDxf_JPEG%2F%25BD%25E3%25BA%25B8%25C6%25B2_%25B4%25D9%25C0%25CC%25BE%25EE%25C6%25AE_%25C1%25D6%25BD%25BA_1.""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230130_121%2F1675064177553jkYcq_JPEG%2FKakaoTalk_20230130_160124148_08.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230130_129%2F1675064165817s5OVF_JPEG%2FKakaoTalk_20230130_160124148.jpg""']",4.23,66,11,"['', '', '', '', '', '', '', '', '', '']"
x,x,x,x,x,x
라면,"['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220725_27%2F16587221512078HtLn_JPEG%2FScreenshot_20220725-130130_Gallery.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220725_46%2F1658722228586sIzpT_JPEG%2FScreenshot_20220302-174825_NAVER.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220725_139%2F16587221704175fwWb_JPEG%2FScreenshot_20220725-130639_NAVER.jpg""']",4.45,803,825,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
x,x,x,x,x,x
x,x,x,x,x,x
아이스크림,"['""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190207_263%2F1549518073913VHxxg_JPEG%2FWzOVG98BAb-9oaMe84QYeDV3.jpg""']",4.3,743,18,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
라면,"['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230814_269%2F1692003942030lGv3u_JPEG%2F1692003929219.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210309_254%2F1615294832015LGhEw_JPEG%2FMgw2ZkHwv10py1kkAkctAU7q.JPG.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240119_253%2F1705655686883SAnpG_JPEG%2F1000023009.jpg""']",4.79,12088,2569,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"카페,디저트","['""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200711_172%2F15943966688328N27s_JPEG%2FyulB_ELG9z7aHt19EqAMcAVz.jpeg.jpg""']",4.53,241,18,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
