foodCategory,images,rating,visitReviewCount,blogReviewCount,review
x,x,x,x,x,x
"카페,디저트","['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220324_8%2F1648116221148z7u3l_JPEG%2FA87A7196-AA46-48AE-BEEA-1B13DB3E9BCB.jpeg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220324_171%2F1648116223658fyMti_JPEG%2F83583CD5-77C2-4E7F-93F5-FDE983FB0AA8.jpeg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220324_265%2F1648116224399QQgRH_PNG%2F81046AAE-755F-4125-92AF-8684150352B6.png""']",4.47,140,320,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
종합분식,"['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191008_100%2F15705176174022g8b1_JPEG%2FcDf57CrpGWnDlR6wCJXTQIIG.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220118_207%2F1642479855171g8txL_JPEG%2F20211208_150012.jpg""']",4.67,26,5,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
x,x,x,x,x,x
죽,"['""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201015_49%2F1602756233536qmDR3_JPEG%2F6TV4Q6NLXO7RIVrVuAz0RTYS.jpeg.jpg""']",4,40,12,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
김밥,"['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191008_84%2F1570497844908azLCX_JPEG%2FYifGG5wCS8LX_xOT3oiP4fEC.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220831_156%2F1661933145323I41Xh_JPEG%2F20220831_170412.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191010_54%2F1570690866732Mc3pF_JPEG%2F1f9yvwqlZyuCLSHcrH7goHNJ.jpg""']",4.54,485,115,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
피자,"['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221007_189%2F1665152387350vkRR9_JPEG%2F3141DE7A-321F-4610-A4CA-3CFA9F21935B.jpeg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221007_65%2F16651523873231ABkB_JPEG%2F7A23B876-6C6F-4C68-BB33-26EE7CADD819.jpeg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221007_154%2F1665152387328YTyWM_PNG%2FD5AC96A8-2E47-47E8-9665-969715C2C829.png""']",4.58,426,82,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"카페,디저트","['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190715_106%2F1563165323422GI3RC_JPEG%2FUxF_lMGgipTJreBMETQmy_uf.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190715_109%2F15631653317572Gtwq_JPEG%2FNyjPbccY97rxnK4h0VtV-46A.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190715_148%2F1563165350666Qn1nk_JPEG%2F2iWzvdXW8--wCsbdymcKmoYo.jpg""']",4.38,469,187,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"카페,디저트","['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220314_97%2F1647260741437z9oBB_JPEG%2F7E43527F-E3F4-4802-B463-2D41E0942679.jpeg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230713_91%2F1689229913689sebxg_JPEG%2F20230624_195429.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240104_245%2F1704345850354lKlaF_JPEG%2F1000011103.jpg""']",4.4,498,110,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
x,x,x,x,x,x
