foodCategory,images,rating,visitReviewCount,blogReviewCount,review
푸드코트,"['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231002_182%2F169623076013794I7u_JPEG%2F1000007769.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231002_80%2F1696230759044Fgex3_JPEG%2F1000007771.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231002_271%2F16962307580264d2N9_JPEG%2F1000007772.jpg""']",x,184,43,"['', '', '', '', '', '', '', '', '', '']"
"카페,디저트","['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231103_28%2F1698971706669tLOuG_JPEG%2F1698970651951.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240125_68%2F1706164970719K1gVI_JPEG%2F1000006683.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240223_236%2F17086702240365Ab5B_JPEG%2F1000007255.jpg""']",x,31,8,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"초밥,롤","['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231130_49%2F1701312434748Asi4T_JPEG%2F%2528%25BD%25C5%2529%25C1%25A4%25C1%25F7%25C0%25AF%25BA%25CE_%25B7%25CE%25B0%25ED111-01.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211112_277%2F1636707968358KDAKp_JPEG%2FSNS_%25C3%25CA%25B1%25E2%25BC%25BC%25C6%25C3_%25BB%25E7%25C1%25F8_%25C0%25FC%25B4%25DE.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211112_180%2F1636707971994xYwcK_JPEG%2FSNS_%25C3%25CA%25B1%25E2%25BC%25BC%25C6%25C3_%25BB%25E7%25C1%25F8_%25C0%25FC%25B4%25DE11.jpg""']",x,240,6,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"카페,디저트","['""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230903_100%2F1693738444452UBKin_JPEG%2F003.jpg""']",x,240,6,"['', '', '', '', '', '', '', '', '', '']"
x,x,x,x,x,x
"카페,디저트","['""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230815_131%2F1692108250239PmcBA_PNG%2F%25BF%25D5%25B0%25A1%25C5%25C1%25C8%25C4%25B7%25E7.""']",x,42,7,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"카페,디저트","['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230730_256%2F1690700992203cIX6B_JPEG%2FIMG_3093.jpeg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230730_72%2F1690700992378cCPRW_JPEG%2FIMG_3091.jpeg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230802_229%2F1690950507507bgGAw_JPEG%2FIMG_3130.jpeg""']",x,226,335,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
x,x,x,x,x,x
"카페,디저트","['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231130_213%2F1701325542844Xy3Bt_JPEG%2FKakaoTalk_20231130_152458610.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231130_83%2F1701325530207noIco_JPEG%2F%25C4%25BF%25C7%25C7%25BE%25D8%25B5%25CE_%25C8%25B8%25BB%25E7%25BC%25D2%25B0%25B3_%25BC%25AD%25BA%25EA%25C6%25E4%25C0%25CC%25C1%25F6_%25B9%25E8%25B0%25E6_%25C0%25CC%25B9%25CC%25C1%25F6.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231130_225%2F170132557715189i12_PNG%2FKakaoTalk_20231127_113545503.png""']",x,29,10,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
x,x,x,x,x,x
차,"['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240215_188%2F1707924070751EaoHw_GIF%2F%25B3%25EC%25C2%25F7%25C7%25AA%25B5%25F9.g""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240215_249%2F1707924073354SV4s3_GIF%2F%25BF%25C1%25BC%25F6%25BC%25F6.g""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240215_80%2F1707924067214QyLzM_GIF%2Fezgif.com-animated-gif-maker.g""']",x,290,82,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"키즈카페,실내놀이터","['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240303_149%2F1709451865309siMvK_PNG%2F20240301_114735_0000.png""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240211_218%2F1707645201446ig77f_JPEG%2FScreenshot_20240211_184849_Instagram.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240206_53%2F1707180397212Lp52j_JPEG%2F1000014361.jpg""']",x,137,18,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"카페,디저트","['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231204_288%2F1701618607784j9Vdv_JPEG%2F%25B4%25EB%25C7%25A5%25BB%25E7%25C1%25F84.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231204_297%2F1701618283304ccIuz_JPEG%2F%25B4%25EB%25C7%25A5%25BB%25E7%25C1%25F81.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231204_8%2F1701618288542ywUwX_JPEG%2F%25B4%25EB%25C7%25A5%25BB%25E7%25C1%25F82.jpg""']",x,10,0,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
