,lat,lng
0,33.5151128,126.5202001
1,33.5214225,126.8588743
2,33.4192601,126.2674304
3,33.4714278,126.5457848
4,33.4879976,126.4978933
5,33.4723023,126.5459717
6,33.4491844,126.5581602
7,33.4924282,126.4932583
8,33.4034300,126.2549266
9,33.4912629,126.5293906
10,33.3953489,126.2425638
11,33.5144265,126.5784505
12,33.5110389,126.5231003
13,33.4683304,126.6786072
14,33.4143390,126.2639232
15,33.4845981,126.3909537
16,33.5190947,126.8858142
17,33.4835303,126.4903698
18,33.5416542,126.6729712
19,33.5526760,126.7922484
20,33.4258570,126.2639665
21,33.4855304,126.4957961
22,33.4550518,126.7105303
23,33.4742704,126.5494289
24,33.5144262,126.5738148
25,33.4105798,126.2651120
26,33.4173496,126.2730509
27,33.5261369,126.8894467
28,33.5033674,126.5278977
29,33.4981801,126.4581235
30,33.4471522,126.4331971
31,33.4550518,126.7105303
32,33.4907376,126.4932473
33,33.4841323,126.4958096
34,33.4965595,126.5263283
35,33.4916153,126.4943555
36,33.4369279,126.6731438
37,33.4653480,126.4693086
38,33.4887991,126.5330239
39,33.5139832,126.9570521
40,33.5043045,126.5183643
41,33.4835647,126.4867419
42,33.5062052,126.5250548
43,33.4926706,126.4298396
44,33.9637190,126.2968412
45,33.4504143,126.4533313
46,33.5153042,126.5398852
47,33.5564202,126.7942348
48,33.4966047,126.5330132
49,33.5351754,126.6229848
50,33.4135435,126.2643670
51,33.4952149,126.5470905
52,33.5118528,126.5125280
53,33.4852077,126.4877509
54,33.5214070,126.8575846
55,33.4493810,126.3911415
56,33.4890967,126.4925609
57,33.5237193,126.8621891
58,33.5534767,126.8225133
59,33.5116442,126.5272103
60,33.5496238,126.6528263
61,33.4783695,126.3918431
62,33.3866085,126.2316718
63,33.5000997,126.5288904
64,33.5162667,126.5293342
65,33.4155172,126.2623321
66,33.4327150,126.3781233
67,33.4639293,126.6606677
68,33.5026364,126.5328390
69,33.4877778,126.4086342
70,33.4904896,126.4777789
71,33.4853604,126.4929978
72,33.5350956,126.6284212
73,33.4786588,126.4789781
74,33.4955073,126.4389222
75,33.4976217,126.4484900
76,33.4394030,126.3282362
77,33.4721912,126.3741475
78,33.5128367,126.5196057
79,33.4756822,126.4773844
80,33.4130744,126.2623054
81,33.4865477,126.5447476
82,33.4049327,126.2531022
83,33.4941312,126.5477125
84,33.5244545,126.5840691
85,33.4275766,126.2776332
86,33.4641615,126.3189619
87,33.3963783,126.2643494
88,33.4887639,126.4770072
89,33.4876960,126.5534582
90,33.5147384,126.5754781
91,33.5119769,126.5185168
92,33.5385200,126.6352342
93,33.4818304,126.4148844
94,33.4874340,126.4928760
95,33.4593040,126.3113438
96,33.4047126,126.2549878
97,33.5546124,126.7968710
98,33.5379706,126.6744196
99,33.5551025,126.8003966
100,33.5157930,126.5400263
101,33.4751784,126.5492489
102,33.4819055,126.4138461
103,33.4147281,126.2613605
104,33.4838937,126.4915229
105,33.5046918,126.5164081
106,33.4744475,126.3708870
107,33.5218064,126.5663805
108,33.5420032,126.6719109
109,33.4976556,126.5269574
110,33.5077905,126.5315791
111,33.4782366,126.4912831
112,33.4404709,126.5789045
113,33.5001225,126.8151066
114,33.5038270,126.5423775
115,33.4837146,126.4814335
116,33.3882492,126.2323146
117,33.4958860,126.8987524
118,33.4039239,126.2638436
119,33.4887991,126.4814501
120,33.4824792,126.4124589
121,33.5039403,126.5133035
122,33.5030148,126.5200969
123,33.3551782,126.1866840
124,33.4284195,126.2669600
125,33.5001678,126.5277272
126,33.4778489,126.3683376
127,33.5353200,126.6753295
128,33.4897136,126.4747391
129,33.4896343,126.4936627
130,33.5174577,126.5228816
131,33.5011074,126.5304783
132,33.4096319,126.2649964
133,33.4840781,126.4875801
134,33.5430753,126.8297765
135,33.4884186,126.4330729
136,33.5033357,126.6332623
137,33.5094012,126.9594387
138,33.4848277,126.5422056
139,33.4890831,126.5193492
140,33.4903969,126.5290010
141,33.4056390,126.2566151
142,33.3971971,126.2431806
143,33.4911107,126.5349855
144,33.4595797,126.7121148
145,33.4885507,126.4911201
146,33.5082696,126.5238406
147,33.4995124,126.5269702
148,33.5176808,126.5167309
149,33.5522323,126.7075316
150,33.4780260,126.4778759
151,33.5418501,126.6661871
152,33.5072720,126.9543969
153,33.4881600,126.4926002
154,33.4767064,126.3815180
155,33.4407902,126.4023654
156,33.4719351,126.3792214
157,33.5102585,126.5138410
158,33.4897540,126.5441983
159,33.4806950,126.4946501
160,33.4855078,126.4846799
161,33.5353567,126.6313392
162,33.5134978,126.5618732
163,33.4720859,126.3489158
164,33.5111613,126.5300012
165,33.5179895,126.6240387
166,33.5110134,126.5215833
167,33.4742681,126.5445798
168,33.5144286,126.5754404
169,33.5435932,126.6610621
170,33.5125566,126.5250530
171,33.4782933,126.4894793
172,33.5120397,126.5319061
173,33.4918521,126.4877028
174,33.3531246,126.1851614
175,33.4956264,126.5364600
176,33.4913786,126.4724641
177,33.4876677,126.5969146
178,33.4907998,126.4735092
179,33.4916405,126.5414419
180,33.4826687,126.4942256
181,33.4826687,126.4942256
182,33.4826687,126.4942256
183,33.4765744,126.5450171
184,33.5079491,126.5191457
185,33.4866558,126.3921316
186,33.5024966,126.5386765
187,33.5282773,126.5892860
188,33.5157620,126.5241045
189,33.5136263,126.5286585
190,33.5534102,126.7150696
191,33.5031143,126.5270471
192,33.5105294,126.5236026
193,33.5013254,126.5103102
194,33.5161025,126.5799027
195,33.5526409,126.7441105
196,33.4640787,126.3096821
197,33.4493850,126.3091415
198,33.4730356,126.7827079
199,33.4926282,126.4962588
200,33.4798142,126.5606440
201,33.5052770,126.5191186
202,33.4982886,126.5444690
203,33.3937517,126.2575396
204,33.4765034,126.4897485
205,33.4881128,126.4905472
206,33.5424872,126.6695095
207,33.4835398,126.4777547
208,33.4834768,126.4889430
209,33.5168359,126.5156033
210,33.5023082,126.4566017
211,33.5235114,126.8627283
212,33.5080227,126.5397532
213,33.4433187,126.2916150
214,33.5261136,126.8551772
215,33.4991006,126.5296742
216,33.5038801,126.5126776
217,33.5011175,126.5274179
218,33.4861707,126.4913699
219,33.5104316,126.5241153
220,33.5208504,126.5810941
221,33.4955926,126.5353097
222,33.4840327,126.4853372
223,33.5318969,126.8422306
224,33.4861707,126.4913699
