,사업장명,업종구분대분류,업종구분소분류,소재지전체주소,도로명전체주소,lat,lng
8322,폴인브라운2,일반음식점,"외국음식전문점(인도,태국등)",제주특별자치도 제주시 애월읍 금성리 468,"제주특별자치도 제주시 애월읍 금성5길 44-18, 2층",33.4483152,126.3023897
8323,폴인브라운,일반음식점,"외국음식전문점(인도,태국등)",제주특별자치도 제주시 애월읍 금성리 468,"제주특별자치도 제주시 애월읍 금성5길 44-18, 1층",33.4483152,126.3023897
8324,원조부안집제주노형점,일반음식점,식육(숯불구이),제주특별자치도 제주시 노형동 923-4,"제주특별자치도 제주시 원노형남1길 18-1, 1층 (노형동)",33.4838377,126.4823951
8325,제주도게스트하우스파티야호텔공항점,일반음식점,한식,제주특별자치도 제주시 도두일동 2272-2 에스관광호텔,"제주특별자치도 제주시 오일장중길 26, 에스관광호텔 지하1층 (도두일동)",33.4954410,126.4714575
8326,마음의실루엣,일반음식점,기타,제주특별자치도 제주시 이도이동 1180-12,"제주특별자치도 제주시 동고산로 1, 2층 (이도이동)",33.4980242,126.5314228
8327,노고롯1985,일반음식점,경양식,제주특별자치도 제주시 한경면 두모리 574-3,"제주특별자치도 제주시 한경면 한원복길 32, 나동 1층",33.3392181,126.1990621
8328,이치니치,일반음식점,일식,제주특별자치도 제주시 애월읍 애월리 1716-1,"제주특별자치도 제주시 애월읍 애월로11길 7, 1층",33.4651148,126.3201469
8329,스프링커피,일반음식점,한식,제주특별자치도 제주시 연동 283-36,"제주특별자치도 제주시 은남3길 32, 1층 (연동)",33.4875447,126.4925944
8330,신계발,일반음식점,한식,제주특별자치도 제주시 이도이동 1767-6,"제주특별자치도 제주시 서광로32길 29-1, 1층 (이도이동)",33.4983228,126.5296652
8331,브라보커피웍스,일반음식점,기타,제주특별자치도 제주시 구좌읍 세화리 25,"제주특별자치도 제주시 구좌읍 세화11길 8, 1층",33.5215627,126.8609738
8332,카페둥지앤와인,일반음식점,기타,제주특별자치도 제주시 노형동 924-1,"제주특별자치도 제주시 원노형남1길 11, 1층 118호 (노형동)",33.4842433,126.4817797
8333,카페광령올레17,일반음식점,기타,제주특별자치도 제주시 애월읍 광령리 1333-16,"제주특별자치도 제주시 애월읍 광성로 295, 1층",33.4610326,126.4388114
8334,썬더치킨삼화마트점,일반음식점,호프/통닭,제주특별자치도 제주시 삼양이동 2332-4 삼화마트,"제주특별자치도 제주시 화삼북로 131, 삼화마트 1층 (삼양이동)",33.5172836,126.5871868
8335,촘고기공작소촘닭갈비,일반음식점,한식,제주특별자치도 제주시 화북이동 829-1,"제주특별자치도 제주시 동화로 76, 1층 (화북이동)",33.5133813,126.5727053
8336,로카츠,일반음식점,한식,제주특별자치도 제주시 우도면 연평리 317-2,"제주특별자치도 제주시 우도면 우도해안길 1132, 이동 1층",33.4977505,126.9675035
8337,카페프레시제주한국병원점,일반음식점,기타,제주특별자치도 제주시 삼도일동 518 한국병원,"제주특별자치도 제주시 서광로 193, 한국병원 가동 3층 (삼도일동)",33.5002330,126.5170620
8338,남광로127,일반음식점,한식,제주특별자치도 제주시 일도이동 111-13,"제주특별자치도 제주시 남광로 127, 1층 (일도이동)",33.4985202,126.5476694
8339,노도고등어회,일반음식점,일식,제주특별자치도 제주시 도두이동 681-1,"제주특별자치도 제주시 서해안로 364, 1층 (도두이동)",33.5107660,126.4839170
8340,옥마가든,일반음식점,한식,제주특별자치도 제주시 조천읍 와산리 935,"제주특별자치도 제주시 조천읍 중산간동로 907, 1층",33.4914831,126.6787133
8341,순수덮밥조천읍점,일반음식점,한식,제주특별자치도 제주시 조천읍 함덕리 1252-6,"제주특별자치도 제주시 조천읍 조함해안로 488-5, 1층",33.5422167,126.6648257
8342,산뽀,일반음식점,한식,제주특별자치도 제주시 연동 283-2,"제주특별자치도 제주시 연동9길 25, 1층 (연동)",33.4874686,126.4920847
8343,빽보이피자제주이도점,일반음식점,경양식,제주특별자치도 제주시 이도이동 1080-8,"제주특별자치도 제주시 중앙로 327, 1층 (이도이동)",33.4921362,126.5364204
8344,식물팔이소년,일반음식점,기타,제주특별자치도 제주시 이도이동 888 주공1아파트,"제주특별자치도 제주시 구남로7길 36, 상가동 105호 (이도이동, 주공1아파트)",33.4921760,126.5338250
8345,영하45삼양해수욕장점,일반음식점,한식,제주특별자치도 제주시 삼양일동 1524-2,"제주특별자치도 제주시 일주동로 417, 1층 (삼양일동)",33.5219992,126.5896417
8346,꽃길국수,일반음식점,한식,제주특별자치도 제주시 용담삼동 516-2 세진빌라,"제주특별자치도 제주시 서해안로 648, 1층 (용담삼동, 세진빌라)",33.5160165,126.5061013
8347,도톰애월,일반음식점,한식,제주특별자치도 제주시 애월읍 하귀2리 2622-3,"제주특별자치도 제주시 애월읍 애월해안로 957, 1층",33.4827369,126.3970309
8348,제주하늘집,일반음식점,한식,제주특별자치도 제주시 노형동 3110-6,"제주특별자치도 제주시 오광로 183, 1층 (노형동)",33.4809303,126.4645907
8349,제주동문비1,일반음식점,한식,"제주특별자치도 제주시 일도일동 1103 동문공설시장, 동문공영주차장","제주특별자치도 제주시 동문로4길 9, 동문공설시장, 동문공영주차장 지하1층 B-1호 (일도일동)",33.5120583,126.5282277
